n,rho,mu,mean,ci_lower,ci_upper,variance,run_count
1,0.5,2.0,0.994804345573463,0.9908953452721518,0.9987133458747741,2.9803120142048125,25
1,0.5,2.0,1.0044550635788427,1.0016704266038987,1.0072397005537868,3.0278203215001938,50
1,0.5,2.0,1.000687659543038,0.9984179441834462,1.00295737490263,3.0168141150461865,75
1,0.5,2.0,0.9983693311506175,0.9964154741760517,1.0003231881251833,2.98355154835339,100
1,0.5,2.0,1.005821597064658,1.0040602479827836,1.0075829461465324,3.0290036268433504,125
1,0.5,2.0,0.9967569916652275,0.9951625367469583,0.9983514465834966,2.9778515452289707,150
2,0.5,2.0,0.33611025523960947,0.3342171001777547,0.33800341030146425,0.5597589926390804,10
2,0.5,2.0,0.32968609765195794,0.32850585167995366,0.3308663436239622,0.5439360288858862,25
2,0.5,2.0,0.33353253313164277,0.3326905711697755,0.33437449509351,0.5539670173142935,50
2,0.5,2.0,0.3336857441284881,0.33299623035764747,0.33437525789932876,0.5572878272990596,75
2,0.5,2.0,0.33308878605728043,0.33249359787627125,0.3336839742382896,0.5533832686156265,100
2,0.5,2.0,0.33362246600774226,0.33308818061295536,0.33415675140252915,0.5571763178541844,125
2,0.5,2.0,0.33288967822773846,0.33240252120068103,0.3333768352547959,0.5560042014602132,150
4,0.5,2.0,0.085593413928978,0.08509515552510549,0.0860916723328505,0.07746160282838531,10
4,0.5,2.0,0.0876170283240874,0.08729585403616964,0.08793820261200515,0.08059127911431958,25
4,0.5,2.0,0.08644477772813865,0.08622060359903684,0.08666895185724045,0.0784495440997199,50
4,0.5,2.0,0.08674905976287302,0.08656539589389019,0.08693272363185585,0.07903753371350158,75
4,0.5,2.0,0.08656754266154222,0.08640871446957714,0.0867263708535073,0.07878922543244642,100
4,0.5,2.0,0.08713385722571539,0.08699086949988406,0.08727684495154671,0.07981858169852285,125
4,0.5,2.0,0.08710657650017208,0.08697631583787614,0.08723683716246801,0.07952781659025453,150
1,0.6,1.6666666666666667,1.4927075047840472,1.485191267591166,1.5002237419769284,5.283851477746764,10
1,0.6,1.6666666666666667,1.4749204567251617,1.4702776344584014,1.479563278991922,5.04157786030528,25
1,0.6,1.6666666666666667,1.4991981275503174,1.4958542078984334,1.5025420472022015,5.238373201938724,50
1,0.6,1.6666666666666667,1.5021197365399426,1.4993801118068535,1.5048593612730317,5.2733571071937595,75
1,0.6,1.6666666666666667,1.499878216027212,1.4975169890432496,1.5022394430111743,5.223739149810887,100
1,0.6,1.6666666666666667,1.5018560707440702,1.4997345870100087,1.5039775544781318,5.27504777801669,125
1,0.6,1.6666666666666667,1.4948050794466665,1.4928790788737862,1.4967310800195468,5.212617336981624,150
2,0.6,1.6666666666666667,0.5623621384851434,0.559949638288359,0.5647746386819278,1.0912507645359513,10
2,0.6,1.6666666666666667,0.5654735357126595,0.5639447784584003,0.5670022929669186,1.0946716614936398,25
2,0.6,1.6666666666666667,0.5595853366473994,0.5585091862518589,0.5606614870429399,1.0848417383952689,50
2,0.6,1.6666666666666667,0.5656369347504501,0.5647523503503707,0.5665215191505294,1.099950243402982,75
2,0.6,1.6666666666666667,0.5647885863444272,0.5640239996050207,0.5655531730838337,1.0958255998537703,100
2,0.6,1.6666666666666667,0.5610022384266077,0.560321851161175,0.5616826256920403,1.0848663570558743,125
2,0.6,1.6666666666666667,0.5639655189867128,0.5633404656761005,0.564590572297325,1.098083359301843,150
4,0.6,1.6666666666666667,0.17622052846677175,0.17551504580987673,0.17692601112366677,0.18654450694061103,10
4,0.6,1.6666666666666667,0.17998024522607833,0.17952514804994457,0.1804353424022121,0.19408495400967235,25
4,0.6,1.6666666666666667,0.17967885402043643,0.17935875981207983,0.17999894822879303,0.1919718449185761,50
4,0.6,1.6666666666666667,0.17893398524681106,0.17867335979274077,0.17919461070088136,0.1909988959393659,75
4,0.6,1.6666666666666667,0.17965132860438443,0.17942460179999192,0.17987805540877694,0.19268394092995386,100
4,0.6,1.6666666666666667,0.17883702490653852,0.17863483160561433,0.1790392182074627,0.19150667782053857,125
4,0.6,1.6666666666666667,0.17938895520487594,0.1792042231870497,0.17957368722270217,0.19194972473229469,150
1,0.7,1.4285714285714286,2.3403000186225795,2.330705486548291,2.349894550696868,10.077363678877559,10
1,0.7,1.4285714285714286,2.3245111420398468,2.318419277812595,2.3306030062670984,10.124462764455812,25
1,0.7,1.4285714285714286,2.3301841419416673,2.3258857898066805,2.334482494076654,10.100458095373707,50
1,0.7,1.4285714285714286,2.3251830167394063,2.3216799549529386,2.328686078525874,10.053281138230862,75
1,0.7,1.4285714285714286,2.331997610863553,2.3289523416767537,2.335042880050352,10.13280327945581,100
1,0.7,1.4285714285714286,2.3252325442446127,2.322524736184552,2.3279403523046733,10.015180820837323,125
1,0.7,1.4285714285714286,2.340356897626073,2.3378582341923675,2.3428555610597783,10.237320508600222,150
2,0.7,1.4285714285714286,0.9807500465838779,0.9774612557158282,0.9840388374519276,2.3672579031908842,10
2,0.7,1.4285714285714286,0.9659581793433942,0.9639075151535014,0.9680088435332871,2.299153434869208,25
2,0.7,1.4285714285714286,0.9613411056109523,0.9598954475174777,0.962786763704427,2.2858465816419002,50
2,0.7,1.4285714285714286,0.9572175688185679,0.956041277198187,0.9583938604389488,2.2676507337433134,75
2,0.7,1.4285714285714286,0.9597153906443,0.9586952547958959,0.9607355264927041,2.2738500573491818,100
2,0.7,1.4285714285714286,0.9643799663154963,0.9634632634299962,0.9652966692009963,2.2969195698198246,125
2,0.7,1.4285714285714286,0.9672119468794741,0.9663723735011548,0.9680515202577934,2.311870147242215,150
4,0.7,1.4285714285714286,0.3549673053428846,0.3539467959429912,0.355987814742778,0.455454170356217,10
4,0.7,1.4285714285714286,0.3541690542333998,0.3535216284433351,0.35481648002346444,0.4580162481518265,25
4,0.7,1.4285714285714286,0.35603703635707,0.35557603823077855,0.3564980344833615,0.4647014857390449,50
4,0.7,1.4285714285714286,0.35452468697021533,0.35414794211720296,0.3549014318232277,0.46515396807910103,75
4,0.7,1.4285714285714286,0.3566360808194934,0.35630947675067026,0.3569626848883165,0.46653825927372655,100
4,0.7,1.4285714285714286,0.35784493297801134,0.3575521608927417,0.35813770506328096,0.4686661639394792,125
4,0.7,1.4285714285714286,0.35714207069061915,0.35687507392982004,0.35740906745141826,0.467538877898304,150
1,0.8,1.25,3.9957560543714346,3.9820451092690465,4.009466999473823,23.52411248302992,10
1,0.8,1.25,4.027614507501642,4.018851533661486,4.036377481341798,23.989462257883865,25
1,0.8,1.25,3.98594517249684,3.9797769046026144,3.9921134403910656,23.76164788170488,50
1,0.8,1.25,3.9885183120845653,3.983468515737037,3.9935681084320938,23.89806189097323,75
1,0.8,1.25,3.9981263130068525,3.993722883370193,4.002529742643512,24.217303195971184,100
1,0.8,1.25,3.984296377098145,3.980401793011003,3.9881909611852873,23.6988714350961,125
1,0.8,1.25,4.002415964721728,3.998828497191664,4.006003432251792,24.116985734780634,150
2,0.8,1.25,1.7945698619060992,1.7897093601930385,1.79943036361916,5.907877314547733,10
2,0.8,1.25,1.753774647920531,1.7507662524440175,1.7567830433970444,5.649416275161903,25
2,0.8,1.25,1.7676873356646592,1.7655622948392258,1.7698123764900926,5.641819923347078,50
2,0.8,1.25,1.7744607355953852,1.7727174278938074,1.776204043296963,5.695129611860718,75
2,0.8,1.25,1.7818330300284824,1.7803130695780678,1.783352990478897,5.774230507311955,100
2,0.8,1.25,1.7784099097406696,1.7770527927189272,1.779767026762412,5.754870418734702,125
2,0.8,1.25,1.774418366988833,1.773183477049431,1.7756532569282348,5.714737621463128,150
4,0.8,1.25,0.7600976099520795,0.7584266862640139,0.7617685336401452,1.3959858404085603,10
4,0.8,1.25,0.7430093220546302,0.7419844849859866,0.7440341591232739,1.3116091103682546,25
4,0.8,1.25,0.7468706881940143,0.7461481793109932,0.7475931970770353,1.304457341075508,50
4,0.8,1.25,0.7431839113326598,0.7425958489776522,0.7437719736876675,1.296156756543045,75
4,0.8,1.25,0.7504796261487582,0.7499647395358879,0.7509945127616284,1.3248927820706937,100
4,0.8,1.25,0.7480631970187385,0.7476037538292141,0.7485226402082629,1.3184752009613023,125
4,0.8,1.25,0.7456589948061355,0.7452402306231622,0.7460777589891088,1.3146968773172352,150
1,0.9,1.1111111111111112,8.655682829586038,8.630015029495437,8.681350629676638,92.54906437590233,10
1,0.9,1.1111111111111112,9.062276195006637,9.045741917499068,9.078810472514206,96.04199576224177,25
1,0.9,1.1111111111111112,9.061173230187476,9.049162129040976,9.073184331333977,101.29905955093602,50
1,0.9,1.1111111111111112,8.798410851246327,8.78908436282556,8.807737339667094,91.65895492063899,75
1,0.9,1.1111111111111112,9.060033872429619,9.051557694964938,9.0685100498943,101.01966979657453,100
1,0.9,1.1111111111111112,9.123053224908503,9.115461229759754,9.130645220057252,101.35018107235794,125
1,0.9,1.1111111111111112,8.868804999571084,8.86213182587891,8.875478173263259,93.81227752148482,150
2,0.9,1.1111111111111112,4.313927068652558,4.3046443505917455,4.32320978671337,24.203929440906172,10
2,0.9,1.1111111111111112,4.290692235390888,4.284763581849961,4.296620888931815,24.703258499553236,25
2,0.9,1.1111111111111112,4.243568702297093,4.239398476554917,4.2477389280392694,24.442388434956964,50
2,0.9,1.1111111111111112,4.2982863253035575,4.294850533333156,4.301722117273959,24.888014763034466,75
2,0.9,1.1111111111111112,4.299865087380657,4.296875742088603,4.302854432672711,25.12840963974442,100
2,0.9,1.1111111111111112,4.268160983554837,4.265512598578297,4.270809368531376,24.645540957342185,125
2,0.9,1.1111111111111112,4.241575293921649,4.23918427783796,4.243966310005338,24.102429939343857,150
4,0.9,1.1111111111111112,1.9548161614206685,1.9515740648901,1.958058257951237,5.90795287947296,10
4,0.9,1.1111111111111112,1.9775437400102616,1.975465872958972,1.979621607061551,6.074090211236916,25
4,0.9,1.1111111111111112,1.9510003365337796,1.9495589192510043,1.9524417538165548,5.837589555300755,50
4,0.9,1.1111111111111112,1.9568377693909393,1.955657115767189,1.9580184230146898,5.876899593957547,75
4,0.9,1.1111111111111112,1.9792175550449043,1.978181681145786,1.9802534289440226,6.033816669294771,100
4,0.9,1.1111111111111112,1.9611344186910853,1.9602215080544054,1.9620473293277652,5.858645362232459,125
4,0.9,1.1111111111111112,1.9667508508305196,1.9659113032888442,1.967590398372195,5.943770728385635,150
